Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2010-01-04,988.6796875,1003.4266532672827,982.5327816234326,1000.1944618605668,333481
2010-01-05,991.248291015625,998.5207401182505,987.6409183995909,994.4804827882923,373950
2010-01-06,978.5498657226562,993.3256427141541,971.7391213378476,993.3256427141541,512455
2010-01-07,954.1932983398438,984.0912301722498,944.8430168867876,984.0912301722498,433144
2010-01-08,949.57568359375,962.3891107457298,932.7797742637653,957.9447863294399,471781
2010-01-11,967.583740234375,974.5387110242077,951.1918281339736,952.3461871486993,249598
2010-01-12,949.31591796875,974.7407013947052,942.1300618657589,967.5836619908622,381602
2010-01-13,938.3495483398438,958.6951251991268,927.816022731846,946.6320598636033,559327
2010-01-14,935.7811279296875,948.4790766094112,932.2602767033072,943.6884586976506,451344
2010-01-15,938.1184692382812,946.5741610486983,932.7218562528637,940.8023673837672,215112
2010-01-18,978.0882568359375,979.473501571765,924.0642757904513,932.7219673187816,383077
2010-01-19,960.4843139648438,981.6668421708612,955.866878339311,978.0882872871875,178910
2010-01-20,974.654296875,977.7421934892317,951.0187511634527,961.0039859265471,347805
2010-01-21,954.1932983398438,976.5878952794408,949.6336358086405,966.8335458274902,210985
2010-01-22,951.9999389648438,961.0039256180762,920.6013581746736,942.2455907336392,364642
2010-01-25,935.8677368164062,957.3676746783278,932.7221365064513,951.7690613237241,299520
2010-01-27,894.71484375,945.7086400643713,889.0007524315824,929.1436160834937,790006
2010-01-28,888.3369750976562,907.2973080240043,878.4672195085351,903.2859385879484,1502871
2010-01-29,899.8228149414062,909.0576866790988,862.8833279906365,880.3430073697114,432901
2010-02-01,912.4918823242188,916.9650233510873,886.720874579767,916.9650233510873,209979
2010-02-02,905.277099609375,926.3730371424689,894.6281667107954,923.1408462443576,338167
2010-02-03,923.2564697265625,941.9282156074491,907.4417346696414,914.8296616974932,472444
