Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2010-01-04,719.0973510742188,728.760266471118,716.5150351376507,717.223074746484,2621
2010-01-05,720.5549926757812,724.0120109547166,712.9329166357142,716.3899349146495,2597
2010-01-06,716.2650146484375,728.843520502589,712.3499007442056,728.843520502589,3768
2010-01-07,724.7200927734375,728.718538289106,705.6857980303209,728.718538289106,2818
2010-01-08,724.5115966796875,728.8016253214487,716.3897362972477,724.678209112538,2329
2010-01-11,729.0515747070312,762.2054176790084,718.8888256360484,762.2054176790084,4490
2010-01-12,728.0519409179688,732.9250371189579,717.3477650986434,732.9250371189579,3152
2010-01-13,720.4718017578125,732.9252853431426,718.9306996881018,732.9252853431426,453
2010-01-14,716.8895874023438,749.7102567575905,716.3898009016976,749.7102567575905,1088
2010-01-15,718.8888549804688,728.0519805943566,714.723797883247,728.0519805943566,798
2010-01-18,716.6814575195312,728.0104449601206,716.3899238179639,727.2190738291656,834
2010-01-19,708.6843872070312,727.968619785001,703.8945720716326,720.1799333633928,2525
2010-01-20,724.0118408203125,724.3033744578886,709.6840353202899,723.8868687796494,1802
2010-01-21,707.2681884765625,724.2616382376499,692.3573176741206,723.8867730082343,658
2010-01-22,699.8129272460938,703.8947038541584,660.5781066939026,695.5645890156477,2428
2010-01-25,701.020751953125,708.101349039495,684.3188831121076,707.0600847620876,1054
2010-01-27,694.1900024414062,719.7218211804266,688.1923612726191,719.7218211804266,1672
2010-01-28,698.1467895507812,716.3481179876646,683.0693045079792,716.3064775889121,1747
2010-01-29,689.3170776367188,697.2306875914605,677.2800502211711,680.9869618948853,1740
2010-02-01,691.5661010742188,697.2305686437072,651.4149398797838,666.4091456570678,2321
2010-02-02,686.4430541992188,724.6366585188111,674.7392538534438,698.0635737397357,2890
2010-02-03,703.351318359375,720.8050270482148,681.6180613182485,692.2749095631865,750
2010-02-04,694.66650390625,712.7496077534743,671.3808892998661,671.3808892998661,337
2010-02-05,709.0575561523438,709.0575561523438,673.0172831437865,695.6316142607018,3911
2010-02-08,709.6865844726562,713.2528487162375,698.9877917419127,711.868278582377,1390
2010-02-09,701.9246826171875,712.4136946108692,688.0791867855274,712.4136946108692,1475
2010-02-10,696.9321899414062,710.6937998360225,689.7996588456638,696.5126292887155,284
2010-02-11,687.4500732421875,703.1835964320453,680.52732303865,703.1835964320453,1018
2010-02-15,685.52001953125,704.8617513947984,681.4922483378862,699.8270245991213,391
2010-02-16,669.3250122070312,692.2749553934141,664.1224507839268,692.2749553934141,1901
2010-02-17,683.925537109375,686.1492281686785,671.3387225454976,678.8488654784537,914
2010-02-18,683.8837890625,687.2402739167945,671.2969708588957,687.2402739167945,551
2010-02-19,674.1918334960938,687.2401558829283,663.1154251361222,687.2401558829283,993
2010-02-22,683.548095703125,683.8837646629362,662.9057350720486,683.8837646629362,2984
2010-02-23,674.9890747070312,680.4433621914102,663.9126652648067,680.4433621914102,2019
2010-02-24,678.639404296875,686.3173852769817,672.2621024059181,686.3173852769817,3887
2010-02-25,677.2546997070312,685.5620200693824,664.5839900794992,685.5620200693824,3299
2010-02-26,679.6041259765625,679.688017591147,667.9822692672342,679.4362915315118,2369
2010-03-02,684.6810302734375,686.3592728619055,672.9752779756928,672.9752779756928,3025
2010-03-03,684.974609375,685.9815650347432,679.7720478129036,681.7859591323901,1583
2010-03-04,685.8975219726562,686.400974083431,678.0517099378953,678.0517099378953,2130
2010-03-05,680.6112670898438,686.3592787340637,673.8563508566479,679.7301999665399,3044
2010-03-08,679.142822265625,686.4012421957424,675.4926649970325,677.1709076429879,417
2010-03-09,677.3804321289062,683.0444989197023,668.7794418169567,673.0169926543018,2098
2010-03-10,685.6879272460938,688.0794022431418,671.3389236161205,671.3389236161205,331
2010-03-11,681.66015625,686.3173203603898,676.3317565698354,685.5201448954465,433
2010-03-12,683.7999267578125,684.7229396459767,671.4228883267118,672.1361209024844,2139
2010-03-15,683.8837890625,683.8837890625,674.02411480301,674.02411480301,331
2010-03-16,680.2755737304688,687.659830119445,672.9752089759547,687.659830119445,217
2010-03-17,670.0382080078125,683.0445852452841,662.9056785550055,681.3663430210943,2110
2010-03-18,667.1431884765625,677.9678706363768,658.71003206716,663.7867042367299,1628
2010-03-19,669.6190185546875,677.9263426547025,658.7104380519169,669.6190185546875,1812
2010-03-22,677.7999267578125,683.0444325358828,667.101134970549,667.101134970549,3356
2010-03-23,680.569091796875,683.8836300630566,675.4924198782337,677.1706619151983,1108
2010-03-25,682.20556640625,683.757920209992,675.5345423218289,683.757920209992,2931
2010-03-26,676.2478637695312,683.0447256886733,672.4298209517466,682.6251650463585,6537
2010-03-29,671.800537109375,682.7930576022245,671.800537109375,682.7930576022245,237
2010-03-30,672.093994140625,683.0445132561621,670.4576979013189,675.492424043256,186
2010-03-31,676.37353515625,688.0373386350392,638.6130866195907,638.6130866195907,1992
2010-04-01,675.6602783203125,683.8417085410676,668.7794754812185,668.7794754812185,65
2010-04-05,695.67333984375,696.4705151343705,679.6880930829399,688.0373582967042,1192
2010-04-06,695.925048828125,704.8617088372373,688.0792871982555,695.6313769357973,15807
2010-04-07,678.3875122070312,704.8617745681694,672.6814985608481,704.7778829385059,3409
2010-04-08,700.456298828125,709.0572896193657,674.0239856647995,683.8836580352463,3074
