Price,Close,High,Low,Open,Volume
Ticker,RECLTD.NS,RECLTD.NS,RECLTD.NS,RECLTD.NS,RECLTD.NS
Date,,,,,
2010-01-04,33.570953369140625,33.89093552778147,33.210121245464606,33.34628410192798,2000250
2010-01-05,33.79561996459961,34.170067820965095,33.43479061011248,33.97263278661401,1941031
2010-01-06,33.046722412109375,34.00667160762801,32.9309845442696,33.94539943354821,1997066
2010-01-07,32.8288688659668,33.35990463668048,32.70632172345736,33.35990463668048,933943
2010-01-08,32.7403450012207,33.35988686538793,32.658647873149256,32.883317053025245,934133
2010-01-11,34.435577392578125,34.74875021334703,32.95140211516136,32.95140211516136,4663903
2010-01-12,34.394737243652344,35.10278576465662,34.129220779676004,34.816841547770814,4273845
2010-01-13,34.81684112548828,35.3614925487747,34.16326107968881,34.3130396670445,7363637
2010-01-14,36.99543762207031,37.41754458637954,34.97342026981362,35.1231988199364,7462893
2010-01-15,36.47121047973633,37.30861236982224,36.1580376584838,37.30861236982224,3612655
2010-01-18,35.449989318847656,36.95458957461202,35.2253201137904,35.81082134269844,4515471
2010-01-19,36.05592346191406,37.35627700550617,35.60658495288292,35.674666377267016,5116471
2010-01-20,35.87209701538086,36.62780184177364,35.55211491393379,36.083150513271434,3164658
2010-01-21,36.13761901855469,36.695886119760914,35.5521176866554,35.94699048466375,3884679
2010-01-22,35.34107971191406,36.06955062976114,34.58537455353371,35.13002612130589,3096826
2010-01-25,35.36830139160156,36.008265698483385,35.01427852459799,35.51127349666087,3504146
2010-01-27,32.617801666259766,35.790393420961124,32.27739464728498,35.266167165787834,5963877
2010-01-28,33.10118103027344,34.653437734306,32.76758322894278,33.25776882752157,4238551
2010-01-29,32.63142776489258,33.080763510617324,31.617012863771595,32.679084208648796,1930725
2010-02-01,33.659454345703125,33.87050786461388,32.27740367817334,32.68589221523401,1846637
2010-02-02,32.39314270019531,34.292613357289426,32.21612988638255,34.292613357289426,1368935
