Price,Close,High,Low,Open,Volume
Ticker,UPL.NS,UPL.NS,UPL.NS,UPL.NS,UPL.NS
Date,,,,,
2010-01-04,97.2762451171875,100.20541232400525,96.82989625420142,97.63890476556578,2254702
2010-01-05,102.04661560058594,102.91141699482289,97.6668094298661,100.42859844102564,2834944
2010-01-06,100.23332214355469,102.60455518526214,98.8105861495774,102.38138391643997,1808083
2010-01-07,99.28482055664062,101.73974255404248,98.75478246642916,100.76335559021958,795439
2010-01-08,98.67111206054688,100.17753740176703,97.24836956680215,99.31273589521125,1325607
2010-01-11,97.94579315185547,100.81916818106473,97.66682265671268,98.69900901918552,1353213
2010-01-12,94.23550415039062,99.00586660431715,93.78915523123172,97.9457839306406,892738
2010-01-13,95.9651107788086,96.80201583323158,92.95225385990165,94.29130066996264,669516
2010-01-14,94.34709167480469,99.20114345115563,93.81705351988275,96.74622115404105,961294
2010-01-15,93.03595733642578,96.43937089428836,92.64540115887763,96.43937089428836,927808
2010-01-18,94.82134246826172,96.10459642212926,93.17542881665878,93.78915619238731,1714378
2010-01-19,93.39860534667969,95.74194211707642,93.1754340647823,95.74194211707642,516949
2010-01-20,92.03166198730469,94.1518210883633,91.50162380830979,93.73336855019281,1898559
2010-01-21,91.13896942138672,93.00805455483662,90.05099020447452,92.05956378219277,1052815
2010-01-22,89.29776000976562,90.38573905239056,86.56387377713635,89.26986360239665,1208554
2010-01-25,89.3256607055664,90.38574339171583,88.26558440449564,89.71621681256055,353221
2010-01-27,86.70335388183594,89.71621050609312,86.25700498880073,89.71621050609312,813660
2010-01-28,87.98662567138672,89.5488503077931,87.54027668742484,88.68404875229947,1197127
2010-01-29,86.70335388183594,87.90291852720499,85.64327765528165,87.03811714788189,1090249
2010-02-01,86.20121002197266,88.18188677694495,85.64327551588558,88.09819117371553,990853
2010-02-02,84.63899993896484,87.67975340402268,83.43943512236353,87.48447852891692,837351
2010-02-03,87.79134368896484,88.51665673860747,84.13685649026016,84.8621759249818,1591876
2010-02-04,87.4007797241211,89.74410989413158,86.87074159323613,87.59605457783928,2186901
2010-02-05,86.1175308227539,88.60034956056406,83.9973717908696,85.92224957260363,1329259
2010-02-08,85.28062438964844,87.59605824902567,84.91796468960843,87.59605824902567,463609
2010-02-09,85.25272369384766,86.36859276162036,84.63898996000212,86.36859276162036,1314007
2010-02-10,84.72267150878906,86.22910291444303,84.30421905000495,85.92223607531392,352015
2010-02-11,84.30422973632812,85.72697210758628,84.02526565182936,85.25272677885977,292597
2010-02-15,84.36003875732422,85.72698208570826,83.16047389912131,84.77849131785642,828448
2010-02-16,83.69049835205078,85.08533786289219,83.49521711718756,84.58319614979554,945034
2010-02-17,86.9823226928711,87.31708595259946,84.41581501008382,84.75057188473407,1116966
2010-02-18,87.90292358398438,88.37716891104874,87.03812215491196,87.87502717563227,1183498
2010-02-19,87.03811645507812,89.26986090248997,86.59176756559576,88.71192638690654,1288294
2010-02-22,87.01022338867188,88.15399525534887,86.25700761341925,88.15399525534887,587325
2010-02-23,89.18616485595703,89.26985406912664,86.22910129508716,86.31279050825677,1372147
2010-02-24,86.48019409179688,89.15828780502008,85.55959339186478,88.93511013637861,1010328
